date,val
810906,1508
810907,2137
810908,513
810909,1442
810910,1123
810911,2763
810912,2664
810913,3256
810914,2037
810915,3870
810916,3890
810917,1972
810918,2037
810919,2647
810921,2966
810922,2889
810923,1732
810924,1123
810925,1732
810927,2135
810930,2647
811001,2647
811002,0
811003,61
811005,1482
811006,1994
811007,513
811008,1483
811009,2647
811011,1123
811013,2647
811014,2844
811015,3256
811016,332
811017,2401
811019,1645
811020,1123
811021,2037
811022,0
811023,818
811024,1082
811026,2335
811027,818
811028,0
811029,1500
811030,2037
811031,1123
811101,1549
811102,1313
811103,1123
811105,1123
811106,2111
811107,2522
811108,513
811110,1667
811111,1800
811112,818
811113,818
811114,0
811115,208
811117,818
811118,208
811119,2647
811120,818
811121,513
811122,0
811123,513
811124,528
811125,513
811126,1334
811127,513
811128,208
811129,0
811130,0
811201,1368
811202,513
811203,513
811204,513
811205,0
811206,513
811207,932
811208,0
811209,513
811210,689
811211,0
811212,0
811213,0
811214,0
811215,0
811216,375
811217,1123
811219,513
811220,59
811221,1458
811222,1349
811223,2794
811225,620
811226,1123
811227,513
811228,1338
811229,208
811230,623
811231,0
820104,2160
820108,280
820109,714
820112,236
820114,1602
820115,567
820118,336
820119,1427
820120,2247
820121,1414
820122,3742
820123,2647
820124,0
820125,513
820126,979
820127,666
820128,1825
820129,80
820130,1341
820131,2037
820201,1403
820204,818
820205,0
820206,881
820207,585
820208,366
820210,1657
820211,0
820212,860
820213,591
820214,556
820215,0
820216,898
820217,1732
820218,1428
820220,1501
820221,1920
820224,1474
820225,208
820227,1123
820228,1878
820302,1730
820307,818
820308,1450
820309,0
820310,2122
820311,208
820312,818
820316,2972
820317,2548
820319,3970
820320,1392
820321,2037
820322,2037
820325,2952
820326,1123
820327,0
820328,2367
820329,2718
820330,2661
820331,2037
820401,2037
820402,4476
820403,1892
820404,2037
820406,1450
820407,1414
820409,2037
820411,2037
820412,3256
820413,3561
820414,3866
820415,4090
820417,0
820418,2798
820421,818
820422,1491
820423,912
820424,0
820425,3455
820426,4476
820427,4171
820428,3916
820430,3543
820501,818
820502,2037
820503,2910
820504,3311
820505,0
820506,283
820508,3711
820510,4656
820511,3666
820512,3807
820513,1375
820514,2647
820515,3257
820516,2682
820517,3931
820518,4150
820519,3256
820520,4920
820521,3256
820522,3256
820523,0
820524,3256
820525,1476
820526,2667
820527,4476
820528,2987
820529,3561
820530,4160
820601,2037
820602,5561
820603,3866
820604,3565
820606,2756
820607,3726
820608,4659
820609,4476
820610,4893
820611,3456
820613,3399
820614,4848
820615,5499
820616,4618
820617,3866
820618,3866
820620,4210
820621,0
820622,3256
820623,4910
820624,4476
820625,4476
820626,4260
820627,4270
820628,3603
820629,4575
820630,4476
820702,3669
820703,0
820704,3866
820705,3747
820706,4476
820707,3349
820708,2037
820709,818
820710,4270
820711,3533
820712,2342
820713,3256
820714,4636
820715,5191
820717,2037
820718,4405
820719,4079
820720,3256
820721,4155
820722,4163
820723,0
820724,4320
820725,3256
820725,3256
820727,4150
820728,2037
820729,208
820731,1123
820801,1755
820803,520
820804,208
820805,3569
820806,1599
820807,2237
820808,1123
820809,2647
820810,2786
820812,2869
820813,3256
820814,2037
820815,2037
820817,3256
820818,3045
820819,3365
820820,3256
820823,2037
820824,0
820825,0
820826,1386
820827,208
820828,2037
820829,2647
820901,2647
820902,3256
820903,3561
820904,3265
820905,3256
820906,0
820907,2647
820908,2794
820909,3018
820910,2801
820911,0
820912,1279
820913,1123
820914,2103
820915,2670
820916,208
820917,2647
820918,0
820919,0
820922,1573
820923,818
820925,1732
820926,1123
820927,3703
820928,3899
820930,2422
821001,1123
821002,2647
821003,1511
821004,1513
821005,0
821006,3508
821007,1106
821008,3256
821010,2037
821011,2363
821012,2600
821015,1534
821016,1428
821017,1123
821018,1123
821019,3256
821020,1123
821021,952
821022,1732
821023,1548
821024,1123
821025,1540
821026,2957
821027,935
821029,1466
821030,661
821031,818
821102,2083
821103,2647
821105,513
821106,513
821107,513
821109,0
821111,862
821112,2037
821113,818
821115,1358
821116,208
821117,208
821120,0
821121,2274
821122,1123
821124,29
821125,609
821126,742
821128,208
821129,513
821130,208
821204,892
821205,0
821208,0
821209,0
821210,0
821211,89
821212,513
821213,519
821214,376
821215,1123
821216,525
821217,409
821218,262
821219,937
821220,513
821223,0
821224,0
821225,1428
821226,48
821227,850
821228,831
821229,1402
821230,0
821231,76
830101,513
830102,208
830103,208
830104,115
830105,681
830106,513
830107,0
830108,0
830111,0
830113,513
830114,0
830115,658
830116,818
830117,513
830118,39
830119,1123
830122,430
830123,513
830124,208
830126,818
830127,818
830128,0
830129,1812
830130,857
830203,1155
830204,513
830207,513
830208,513
830210,1421
830211,542
830213,710
830214,513
830215,847
830216,901
830217,1431
830218,1471
830221,2037
830222,1461
830223,2037
830224,2187
830226,2647
830227,2416
830228,1571
830301,1431
830304,2037
830305,1123
830306,513
830307,2916
830308,2043
830309,2190
830310,1487
830312,3320
830313,3824
830314,1732
830316,3256
830318,2647
830321,1920
830322,2037
830324,513
830327,3016
830328,2830
830329,2769
830330,2737
830401,4020
830402,3256
830403,2037
830404,2688
830407,1696
830409,3561
830410,2977
830411,3482
830412,0
830413,208
830415,2433
830416,2339
830417,2342
830418,2299
830419,4070
830420,2647
830424,2647
830426,4901
830429,3256
830430,4090
830501,3664
830502,4020
830503,3256
830504,3636
830505,3369
830506,4476
830507,3010
830509,4527
830514,4432
830515,3403
830516,3606
830517,4986
830519,3614
830521,2192
830523,2826
830525,2647
830526,3866
830527,3866
830528,2647
830529,3903
830530,2700
830531,1427
830601,208
830602,4476
830604,3561
830608,3866
830609,4298
830610,4170
830611,3866
830613,4975
830614,2689
830616,4476
830617,4476
830618,4082
830619,4824
830620,1123
830621,4476
830622,4959
830624,2342
830626,0
830627,3256
830628,1123
830629,3778
830701,4401
830702,3763
830703,3570
830704,2647
830706,2952
830707,3116
830708,3876
830710,3826
830711,4821
830712,2037
830713,2647
830714,2647
830715,3334
830717,3561
830718,2037
830720,3866
830721,2617
830723,3866
830725,3256
830725,3256
830727,0
830728,2037
830730,0
830731,2805
830801,2077
830802,3256
830805,2673
830807,3395
830808,1123
830809,4049
830810,2961
830812,3500
830815,3830
830816,3476
830817,3957
830818,3113
830819,3245
830821,4368
830823,3256
830824,1563
830827,3256
830830,526
830902,2037
830903,3256
830904,4300
830905,4476
830906,3256
830907,3256
830909,1546
830911,3519
830912,2647
830913,3496
830915,1798
830917,0
830918,3256
830919,3600
830920,3256
830923,3314
830925,1123
830926,2952
830928,513
831001,208
831003,513
831006,1539
831010,1549
831011,2265
831012,1732
831013,1517
831014,1455
831015,3738
831016,2647
831019,0
831020,0
831023,818
831027,1562
831028,1181
831029,1535
831030,1560
831102,1123
831104,1530
831106,649
831107,1767
831108,818
831109,208
831110,1079
831111,700
831112,609
831113,0
831116,0
831117,356
831118,0
831120,1944
831121,0
831122,20
831124,2037
831125,818
831126,287
831128,1347
831130,0
831201,905
831203,0
831204,1160
831205,1665
831206,1397
831207,513
831208,818
831209,513
831210,0
831211,1764
831213,208
831214,0
831215,2244
831216,0
831217,570
831218,59
831220,307
831221,1332
831222,0
831224,0
831225,0
831226,208
831227,0
831228,0
831229,0
831230,680
